order_id,customer_key,product_key,seller_key,order_date_key,delivery_date_key,geo_key,review_key,price,freight_value,total_order_payment_value,primary_payment_type,delivery_lead_time_days,is_late
00010242fe8c5a6d1ba2dd792cb16214,65558,25864,514,20170913,20170920,7570,51736,58.9,13.29,72.19,credit_card,7,0
00018f77f2f0320c557190d7a144bdd3,34266,27229,472,20170426,20170512,5642,27766,239.9,19.93,259.83,credit_card,16,0
000229ec398224ef6ca0657da4fc703e,34956,22623,1825,20180114,20180122,8798,4218,199.0,17.87,216.87,credit_card,7,0
00024acbcdf0a6daa1e931b038114c75,51764,15403,2024,20180808,20180814,4797,38723,12.99,12.79,25.78,credit_card,6,0
00042b26cf59d7ce69dfabb4e55b4fd9,7603,8862,1598,20170204,20170301,4934,55413,199.9,18.14,218.04,credit_card,25,0
00048cc3ae777c65dbb7d2a0634bc1ea,22998,3940,660,20170515,20170522,9448,22692,21.9,12.69,34.59,boleto,6,0
00054e8431b9d7675808bcb819fb4a32,54487,22291,2974,20171210,20171218,5780,92468,19.9,11.85,31.75,credit_card,8,0
000576fe39319847cbb9d288c5617fa6,17921,6975,692,20180704,20180709,4505,89385,810.0,70.75,880.75,credit_card,5,0
0005a1a1728c9d785b8e2b08b904576c,14036,2714,68,20180319,20180329,4370,67430,145.95,11.65,157.6,credit_card,9,1
0005f50442cb953dcd1d21e1fb923495,22727,28254,1158,20180702,20180704,3303,35882,53.99,11.4,65.39,credit_card,2,0
00061f2a7bc09da83e415a52dc8a4af1,83428,14394,1414,20180324,20180329,5048,24690,59.99,8.88,68.87,credit_card,4,0
00063b381e2406b52ad429470734ebd5,51542,23292,849,20180727,20180807,5681,92996,45.0,12.98,57.98,credit_card,10,1
0006ec9db01a64e59a68b2c340bf65a7,86084,9661,2464,20180724,20180731,6542,56767,74.0,23.32,97.32,credit_card,6,0
0008288aa423d2a3f00fcb17cd7d8719,13980,4599,475,20180213,20180226,3285,15236,49.9,13.37,126.54,boleto,12,0
0008288aa423d2a3f00fcb17cd7d8719,13980,4599,475,20180213,20180226,3285,15236,49.9,13.37,126.54,boleto,12,0
0009792311464db532ff765bf7b182ae,28501,1132,2122,20180814,20180822,9221,65527,99.9,27.65,127.55,boleto,7,0
0009c9a17f916a706d71784483a5d643,23123,9418,1522,20180425,20180430,4826,27243,639.0,11.34,650.34,credit_card,5,0
